Occupation,Detailed Work Activity,Code,Group
Radiologic Technologists and Technicians,Create advanced digital images of patients using computer imaging systems.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Maintain medical facility records.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Assist healthcare practitioners during examinations or treatments.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Prepare reports summarizing patient diagnostic or care activities.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Record patient medical histories.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,"Collect medical information from patients, family members, or other medical professionals.",29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Enter patient or treatment data into computers.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Move patients to or from treatment areas.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Train medical providers.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Perform clerical work in medical settings.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Schedule patient procedures or appointments.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Examine medical instruments or equipment to ensure proper operation.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Supervise patient care personnel.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Assist patients with hygiene or daily living activities.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Collaborate with healthcare professionals to plan or provide treatment.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Manage healthcare operations.,29-2034.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,"Collect medical information from patients, family members, or other medical professionals.",29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Follow protocols or regulations for healthcare activities.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Review technical documents to plan work.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Review work orders or schedules to determine operations or procedures.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Create advanced digital images of patients using computer imaging systems.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Operate diagnostic imaging equipment.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Prepare patients physically for medical procedures.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Position patients for treatment or examination.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Check quality of diagnostic images.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Administer medical substances for imaging or other procedures.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Examine medical instruments or equipment to ensure proper operation.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Train medical providers.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Collaborate with healthcare professionals to plan or provide treatment.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Explain medical procedures or test results to patients or family members.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Prepare reports summarizing patient diagnostic or care activities.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Maintain medical equipment or instruments.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Repair medical facility equipment.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Operate diagnostic or therapeutic medical instruments or equipment.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Maintain inventory of medical supplies or equipment.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Process x-rays or other medical images.,29-2035.00,Laboratory and Diagnostic Technicians
Magnetic Resonance Imaging Technologists,Schedule patient procedures or appointments.,29-2035.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Develop treatment plans for patients or clients.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Analyze health-related data.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Calculate numerical data for medical activities.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Create advanced digital images of patients using computer imaging systems.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Operate diagnostic imaging equipment.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Conduct research to increase knowledge about medical issues.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Fabricate medical devices.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Recommend types of assistive devices.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Teach medical procedures to healthcare personnel.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Adjust equipment to ensure optimal performance.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Adjust settings or positions of medical equipment.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Administer medical substances for imaging or other procedures.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Advise medical personnel regarding healthcare issues.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Advise patients on effects of health conditions or treatments.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Calibrate equipment to specifications.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Calibrate scientific or technical equipment.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Collaborate on research activities with scientists or technical specialists.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Collaborate with other professionals to assess client needs or plan treatments.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,"Collect medical information from patients, family members, or other medical professionals.",29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Communicate with other workers to coordinate activities.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Load materials or equipment.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,"Load shipments, belongings, or materials.",29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Maintain medical records.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Make patient-assistive devices or device models.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Monitor operational quality or safety.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Monitor patients following surgeries or other treatments.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Process x-rays or other medical images.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Protect patients or staff members using safety equipment.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,"Provide health and wellness advice to patients, program participants, or caregivers.",29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Receive shipments.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Record vital statistics or other health information.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Research new technologies.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Supervise technical medical personnel.,29-2036.00,Laboratory and Diagnostic Technicians
Medical Dosimetrists,Train medical providers.,29-2036.00,Laboratory and Diagnostic Technicians
Emergency Medical Technicians,Inform medical professionals regarding patient conditions and care.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Treat medical emergencies.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Analyze patient data to determine patient needs or treatment goals.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Collaborate with healthcare professionals to plan or provide treatment.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Drive vehicles to transport individuals or equipment.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Interact with patients to build rapport or provide emotional support.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Maintain inventory of medical supplies or equipment.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Maintain medical equipment or instruments.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Maintain medical or professional knowledge.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Monitor patient progress or responses to treatments.,29-2042.00,Supportive Care and Assistant Roles
Emergency Medical Technicians,Position patients for treatment or examination.,29-2042.00,Supportive Care and Assistant Roles
